1,2004-02-09,20782112,4021338.88,19.35
2,2004-02-10,98511954,89517813.76,90.87
3,2004-02-11,49443360,39460743.68,79.81
4,2004-02-12,12718469,1818741.12,14.3
5,2004-02-13,8625444,3671851.52,42.57
6,2004-02-14,51093245,10535427.2,20.62
7,2004-02-15,78598374,18588515.84,23.65
8,2004-02-16,8020180,1547894.72,19.3
9,2004-02-17,60694457,4958736.96,8.17
10,2004-02-18,14262153,7724382.08,54.16
11,2004-02-19,7198265,4498915.52,62.5
12,2004-02-20,47388193,16955494.4,35.78
13,2004-02-21,90517335,1502587.68,1.66
14,2004-02-22,98419367,24506421.76,24.9
15,2004-02-23,75658611,32064117.76,42.38
16,2004-02-24,24398534,22863866.88,93.71
17,2004-02-25,54266743,46680253.44,86.02
18,2004-02-26,39548065,14102839.04,35.66
19,2004-02-27,4171263,3070049.6,73.6
20,2004-02-28,47713137,42870251.52,89.85
21,2004-02-29,94638969,85818618.88,90.68
22,2004-03-01,38942624,27403924.48,70.37
23,2004-03-02,55607356,48623073.28,87.44
24,2004-03-03,15052006,14740430.08,97.93
25,2004-03-04,56332306,56326671.36,99.99
26,2004-03-05,99967706,18534013.44,18.54
27,2004-03-06,80313087,70450641.92,87.72
28,2004-03-07,19043114,8609391.36,45.21
29,2004-03-08,62517508,48369797.12,77.37
30,2004-03-09,16985560,14429232.64,84.95
31,2004-03-10,53083646,11423601.92,21.52
32,2004-03-11,34657133,33277777.92,96.02
33,2004-03-12,83460706,9873400.96,11.83
34,2004-03-13,61607852,38295441.92,62.16
35,2004-03-14,20580534,11508633.6,55.92
36,2004-03-15,45463784,17580844.8,38.67
37,2004-03-16,21877912,12404775.68,56.7
38,2004-03-17,2181180,706266.08,32.38
39,2004-03-18,41116113,37111403.52,90.26
40,2004-03-19,35464119,28537978.88,80.47
41,2004-03-20,45047828,20366122.24,45.21
42,2004-03-21,61163580,11131772.16,18.2
43,2004-03-22,97005743,22088207.36,22.77
44,2004-03-23,75215096,44233999.36,58.81
45,2004-03-24,63876551,2395370.72,3.75
46,2004-03-25,3296300,621682.2,18.86
47,2004-03-26,88537942,11217757.44,12.67
48,2004-03-27,94504144,59868375.04,63.35
49,2004-03-28,88644262,5504808.96,6.21
50,2004-03-29,94713501,11621347.84,12.27
51,2004-03-30,10840041,203792.78,1.88
52,2004-03-31,44163077,33842163.2,76.63
53,2004-04-01,54721582,37987722.24,69.42
54,2004-04-02,80380579,54449802.24,67.74
55,2004-04-03,76156862,49045022.72,64.4
56,2004-04-04,1943896,1019379.04,52.44
57,2004-04-05,99546012,55895091.2,56.15
58,2004-04-06,46890736,31505886.72,67.19
59,2004-04-07,41200865,21490370.56,52.16
60,2004-04-08,13249743,2308105.28,17.42
61,2004-04-09,11323125,142671.37,1.26
62,2004-04-10,65453141,23752944.64,36.29
63,2004-04-11,59235207,7291854.08,12.31
64,2004-04-12,7115997,6027249.28,84.7
65,2004-04-13,61222713,6563075.2,10.72
66,2004-04-14,27171375,13930764.8,51.27
67,2004-04-15,99093364,23346396.16,23.56
68,2004-04-16,99968788,54772899.84,54.79
69,2004-04-17,96673042,63717201.92,65.91
70,2004-04-18,76243963,19289721.6,25.3
71,2004-04-19,12457222,10107790.08,81.14
72,2004-04-20,98556859,20657515.52,20.96
73,2004-04-21,99523159,76712453.12,77.08
74,2004-04-22,97696080,77658613.76,79.49
75,2004-04-23,37114826,7927726.72,21.36
76,2004-04-24,90794434,36299614.72,39.98
77,2004-04-25,53688945,38317800.96,71.37
78,2004-04-26,7446723,5483767.04,73.64
79,2004-04-27,52183239,38109419.52,73.03
80,2004-04-28,95697370,21302234.88,22.26
81,2004-04-29,100925913,92306841.6,91.46
82,2004-04-30,99238866,73337523.2,73.9
83,2004-05-01,1806371,1641629.92,90.88
84,2004-05-02,48649224,25083540.48,51.56
85,2004-05-03,26813316,4845166.08,18.07
86,2004-05-04,18243673,8269856.64,45.33
87,2004-05-05,93079898,82748026.88,88.9
88,2004-05-06,52748872,24675921.92,46.78
89,2004-05-07,90168619,54389708.8,60.32
90,2004-05-08,99562131,90143549.44,90.54
91,2004-05-09,98914157,31207416.32,31.55
92,2004-05-10,44659933,593977.12,1.33
93,2004-05-11,6819224,3239813.12,47.51
94,2004-05-12,22903250,5579232,24.36
95,2004-05-13,5038611,93718.17,1.86
96,2004-05-14,22077600,3121772.8,14.14
97,2004-05-15,66306033,17166631.68,25.89
98,2004-05-16,53137965,29991065.6,56.44
99,2004-05-17,62064228,50240988.16,80.95
100,2004-05-18,30192079,6965312.64,23.07
101,2004-05-19,35348707,34390758.4,97.29
102,2004-05-20,85970219,43655674.88,50.78
103,2004-05-21,39033721,22823016.96,58.47
104,2004-05-22,27885305,7107964.16,25.49
105,2004-05-23,51334975,24620254.72,47.96
106,2004-05-24,30656916,4114158.08,13.42
